file_name,table_name,row_id,column_id,item_id,new_value,item_name,purchase_price,purchase_points,location_id
shop.bin.json,aston_s_ebisuya,0,replacement_item_id,6314,6314,Toy Crows,66587,3427,1
shop.bin.json,aston_s_ebisuya,1,replacement_item_id,6315,6315,Hockey Mask,230340,338,2
shop.bin.json,aston_s_ebisuya,2,replacement_item_id,6316,6316,Insulated Shirt,114533,253,3
shop.bin.json,aston_s_ebisuya,3,replacement_item_id,6317,6317,Refreshment of the Sky King,193153,130,4
shop.bin.json,aston_s_ebisuya,4,replacement_item_id,6318,6318,Super Rocket Frame,51216,146,5
shop.bin.json,aston_s_ebisuya,5,replacement_item_id,6319,6319,(Vixy) Magnet Element,193190,384,6
shop.bin.json,aston_s_ebisuya,6,replacement_item_id,6320,6320,Luxury Yakiniku Bento,630943,1408,7
shop.bin.json,aston_s_ebisuya,7,replacement_item_id,6321,6321,Wakame Ramen Sesame Soy Sauce,58533,1464,8
shop.bin.json,aston_s_ebisuya,8,replacement_item_id,6322,6322,Side Stripe,48287,2925,9
shop.bin.json,aston_s_ebisuya,9,replacement_item_id,6323,6323,(Vixy) Mysterious Abyss,39844,106,10
shop.bin.json,aston_s_ebisuya,10,replacement_item_id,6324,6324,Tauriner Maximum,33596,295,11
shop.bin.json,aston_s_ebisuya,11,replacement_item_id,6325,6325,Skill Book: Progressive Extra Shoe Boost,13531,1165,12
shop.bin.json,aston_s_ebisuya,12,replacement_item_id,6326,6326,(Vixy) Aerial Dodge,20917,1119,13
shop.bin.json,aston_s_ebisuya,13,replacement_item_id,6327,6327,(Vixy) Drive Gauge Up,58880,913,14
shop.bin.json,aston_s_ebisuya,14,replacement_item_id,6328,6328,Staminan Royale,953902,961,15
shop.bin.json,aston_s_ebisuya,15,replacement_item_id,6329,6329,Midnight Ring,56579,1297,16
shop.bin.json,aston_s_ebisuya,16,replacement_item_id,6330,6330,Oden,125638,275,17
shop.bin.json,aston_s_ebisuya,17,replacement_item_id,6331,6331,Eye of the Dragon,561401,2611,18
shop.bin.json,aston_s_pokecir_parts,0,replacement_item_id,6332,6332,(Vixy) Secret Ansem's Report 7,447442,938,19
shop.bin.json,aston_s_pokecir_parts,1,replacement_item_id,6333,6333,Sake,85852,279,20
shop.bin.json,aston_s_pokecir_parts,2,replacement_item_id,6334,6334,Premium BOSS,21281,282,21
shop.bin.json,aston_s_pokecir_parts,3,replacement_item_id,6335,6335,(Vixy) Lucky Emblem,38669,418,22
shop.bin.json,aston_s_pokecir_parts,4,replacement_item_id,6336,6336,High-end Timepiece,321800,1719,23
shop.bin.json,aston_s_pokecir_parts,5,replacement_item_id,6337,6337,(Vixy) Secret Ansem's Report 5,65203,148,24
shop.bin.json,aston_s_pokecir_parts,6,replacement_item_id,6338,6338,Carnation,173167,448,25
