file_name,table_name,row_id,column_id,item_id,item_name,purchase_price,purchase_points
shop.bin.json,aston_s_ebisuya,0,replacement_item_id,6104,Sneakers,150000,100
shop.bin.json,aston_s_ebisuya,1,replacement_item_id,6080,Noh Mask,200000,100
shop.bin.json,aston_s_ebisuya,2,replacement_item_id,,Reaction Boost,,
shop.bin.json,aston_s_ebisuya,3,replacement_item_id,,Thundaga Trinket,,
shop.bin.json,aston_s_ebisuya,4,replacement_item_id,,Protect Belt,,
shop.bin.json,aston_s_ebisuya,5,replacement_item_id,6191,Daidoji Knockdown Strike,1000,1000
shop.bin.json,aston_s_ebisuya,6,replacement_item_id,5435,Prima Heart Earrings,9800,0
shop.bin.json,aston_s_ebisuya,7,replacement_item_id,6060,Three-Piece Suit,200000,100
shop.bin.json,aston_s_ebisuya,8,replacement_item_id,,Armor Slot Up,,
shop.bin.json,aston_s_ebisuya,9,replacement_item_id,6248,More Drones 4,1000,1000
shop.bin.json,aston_s_ebisuya,10,replacement_item_id,,Battlefields of War,,
shop.bin.json,aston_s_ebisuya,11,replacement_item_id,,Ultima Weapon,,
shop.bin.json,aston_s_ebisuya,12,replacement_item_id,5373,Iron Plate,150,10
shop.bin.json,aston_s_ebisuya,13,replacement_item_id,,Donald Lucky Lucky,,
shop.bin.json,aston_s_ebisuya,14,replacement_item_id,5846,Shockin' Takoyaki,1980,0
shop.bin.json,aston_s_ebisuya,15,replacement_item_id,6116,Carnation,50000,100
shop.bin.json,aston_s_ebisuya,16,replacement_item_id,5517,Wonton Harusame,197,0
shop.bin.json,aston_s_ebisuya,17,replacement_item_id,4826,Low Profile Tires Plus,880,380
shop.bin.json,aston_s_pokecir_parts,0,replacement_item_id,5946,Gruesome Chainmail,95000,1000
shop.bin.json,aston_s_pokecir_parts,1,replacement_item_id,5574,Smile Burger (Takeout),550,0
shop.bin.json,aston_s_pokecir_parts,2,replacement_item_id,,Slapshot,,
shop.bin.json,aston_s_pokecir_parts,3,replacement_item_id,4757,Blue Bolt,980,0
shop.bin.json,aston_s_pokecir_parts,4,replacement_item_id,4768,Super Balanced Frame,0,0
shop.bin.json,aston_s_pokecir_parts,5,replacement_item_id,,Drive Converter,,
shop.bin.json,aston_s_pokecir_parts,6,replacement_item_id,,Glide,,
shop.bin.json,aston_s_pokecir_parts,7,replacement_item_id,,Berserk Charge,,
shop.bin.json,aston_s_pokecir_parts,8,replacement_item_id,5327,Staminan X,5000,150
shop.bin.json,aston_s_pokecir_parts,9,replacement_item_id,4788,Super Speed Frame,2980,2980
shop.bin.json,aston_s_pokecir_parts,10,replacement_item_id,6196,HA: Daidoji Martial Mastery,1000,1000
shop.bin.json,aston_s_pokecir_parts,11,replacement_item_id,4760,DRAG-ON,4980,120000
shop.bin.json,aston_s_pokecir_parts,12,replacement_item_id,,Quick Run,,
shop.bin.json,aston_s_pokecir_parts,13,replacement_item_id,5568,Imuraya Yokan,90,0
