file_name,table_name,row_id,column_id,item_id,item_name,purchase_price,purchase_points,location_id
shop.bin.json,aston_s_ebisuya,0,replacement_item_id,6021,Ceremonial Oath Sake Cup (Plum),30000,50,1
shop.bin.json,aston_s_ebisuya,1,replacement_item_id,,Max HP Up,,,2
shop.bin.json,aston_s_ebisuya,2,replacement_item_id,,Armor Slot Up,,,3
shop.bin.json,aston_s_ebisuya,3,replacement_item_id,6013,Quality Egg,200,0,4
shop.bin.json,aston_s_ebisuya,4,replacement_item_id,4798,Extra Speed Motor,2480,2480,5
shop.bin.json,aston_s_ebisuya,5,replacement_item_id,4814,Ultra Slick Tires,3980,3980,6
shop.bin.json,aston_s_ebisuya,6,replacement_item_id,6143,EX Health Up 1,1000,1000,7
shop.bin.json,aston_s_ebisuya,7,replacement_item_id,4823,Super Spiked Tires,2480,2480,8
shop.bin.json,aston_s_ebisuya,8,replacement_item_id,5916,Taiyaki Ice Cream,150,0,9
shop.bin.json,aston_s_ebisuya,9,replacement_item_id,5736,Suntory Sparkling Lemon Mineral Water,130,0,10
shop.bin.json,aston_s_ebisuya,10,replacement_item_id,6051,Hat,0,0,11
shop.bin.json,aston_s_ebisuya,11,replacement_item_id,6005,Alpha Cool Striker,50000000,4980,12
shop.bin.json,aston_s_ebisuya,12,replacement_item_id,5970,Charismatic Photo,1000,150,13
shop.bin.json,aston_s_ebisuya,13,replacement_item_id,6139,Health Up 1,1000,1000,14
shop.bin.json,aston_s_ebisuya,14,replacement_item_id,,Blizzard Element,,,15
shop.bin.json,aston_s_ebisuya,15,replacement_item_id,5434,White Pearl Earrings,25000,0,16
shop.bin.json,aston_s_ebisuya,16,replacement_item_id,5727,Suntory Oolong Tea,170,0,17
shop.bin.json,aston_s_ebisuya,17,replacement_item_id,4750,Center Stripe,980,0,18
shop.bin.json,aston_s_pokecir_parts,0,replacement_item_id,,Second Chance,,,19
shop.bin.json,aston_s_pokecir_parts,1,replacement_item_id,5501,Tuna & Egg Sandwich,300,0,20
shop.bin.json,aston_s_pokecir_parts,2,replacement_item_id,,Cosmic Chain,,,21
shop.bin.json,aston_s_pokecir_parts,3,replacement_item_id,5931,Galaxy Force,5500,0,22
shop.bin.json,aston_s_pokecir_parts,4,replacement_item_id,,Lucky Emblem,,,23
shop.bin.json,aston_s_pokecir_parts,5,replacement_item_id,,MP Haste,,,24
shop.bin.json,aston_s_pokecir_parts,6,replacement_item_id,,Secret Ansem's Report 9,,,25
shop.bin.json,aston_s_pokecir_parts,7,replacement_item_id,,Secret Ansem's Report 1,,,26
shop.bin.json,aston_s_pokecir_parts,8,replacement_item_id,6092,Fedora,100000,100,27
shop.bin.json,aston_s_pokecir_parts,9,replacement_item_id,5508,Sushi Set,1500,0,28
shop.bin.json,aston_s_pokecir_parts,10,replacement_item_id,4802,Balanced Motor Plus,1180,680,29
shop.bin.json,aston_s_pokecir_parts,11,replacement_item_id,5576,Smile Fries (Takeout),280,0,30
shop.bin.json,aston_s_pokecir_parts,12,replacement_item_id,4763,Devil Killer,4980,5600,31
shop.bin.json,aston_s_pokecir_parts,13,replacement_item_id,5515,Yakisoba Mochichi,255,0,32
shop.bin.json,aston_s_pokecir_parts,14,replacement_item_id,6035,Pencils,0,0,33
shop.bin.json,aston_s_pokecir_parts,15,replacement_item_id,,Guard Break,,,34
shop.bin.json,aston_s_pokecir_parts,16,replacement_item_id,,Finishing Plus,,,35
shop.bin.json,aston_s_pokecir_parts,17,replacement_item_id,,Lucky Emblem,,,36
shop.bin.json,aston_s_pokecir_parts,18,replacement_item_id,,Lucky Emblem,,,37
shop.bin.json,aston_s_pokecir_parts,19,replacement_item_id,6044,The Advanced Guide to Cooperative Fighting,540000,0,38
shop.bin.json,aston_s_pokecir_parts,20,replacement_item_id,5374,Paper Plate,15,1,39
shop.bin.json,aston_s_pokecir_parts,21,replacement_item_id,6192,Daidoji Evasive Strike,1000,1000,40
shop.bin.json,aston_s_pokecir_parts,22,replacement_item_id,,Rising Dragon,,,41
shop.bin.json,aston_s_pokecir_parts,23,replacement_item_id,5503,Bento Lunch Set,550,0,42
shop.bin.json,aston_s_pokecir_parts,24,replacement_item_id,5569,Imuraya Castella,330,0,43
shop.bin.json,aston_s_pokecir_parts,25,replacement_item_id,6211,KIW Health Up 15,1000,1000,44
shop.bin.json,aston_s_pokecir_parts,26,replacement_item_id,6170,Drunk Heat Gauge 1,1000,1000,45
shop.bin.json,aston_s_pokecir_parts,27,replacement_item_id,5435,Prima Heart Earrings,9800,0,46
shop.bin.json,aston_s_pokecir_parts,28,replacement_item_id,5946,Gruesome Chainmail,95000,1000,47
shop.bin.json,aston_s_pokecir_parts,29,replacement_item_id,5442,Standard Timepiece,50000,0,48
shop.bin.json,aston_s_pokecir_parts,30,replacement_item_id,,Item Slot Up,,,49
shop.bin.json,aston_s_pokecir_parts,31,replacement_item_id,6084,Ono Michio Head,1000000,100,50
shop.bin.json,aston_s_pokecir_parts,32,replacement_item_id,,Circle of Life,,,51
shop.bin.json,aston_s_pokecir_parts,33,replacement_item_id,,Meteor Staff,,,52
